Year,china-cooperation_distance,america-conflict_distance
1990,0.6712177097797394,0.906500019133091
1991,0.7302721440792084,0.7733152359724045
1992,0.6068367063999176,0.8291805982589722
1993,0.6389280557632446,0.8784860521554947
1994,0.6410628855228424,0.8707581609487534
1995,0.5855521857738495,0.9324876964092255
1996,0.5997927188873291,0.9099433720111847
1997,0.7619835138320923,0.8874739333987236
1998,0.6586512327194214,0.8345044255256653
1999,0.6046585738658905,0.9126058965921402
2000,0.5808208882808685,0.8176860064268112
2001,0.47481977939605713,0.7337310016155243
2002,0.6991366744041443,0.6952512264251709
2003,0.5790186822414398,0.6999938189983368
2004,0.6164033114910126,0.7284058332443237
2005,0.6483096480369568,0.7544232457876205
2006,0.6782885789871216,0.6691769361495972
2007,0.7801761776208878,0.8964901491999626
2008,0.557838648557663,0.7020660042762756
2009,0.5281051397323608,0.7961789816617966
2010,0.5313763916492462,0.7763765454292297
2011,0.5562842786312103,0.801806777715683
2012,0.5337923765182495,0.8130952715873718
2013,0.7067077457904816,0.7417381405830383
2014,0.4852721691131592,0.6796452105045319
2015,0.6123379766941071,0.6932876408100128
2016,0.6345861554145813,0.8790281116962433
2017,0.7639335989952087,0.7637806236743927
2018,0.7103318274021149,0.7645420730113983
2019,0.5194495320320129,0.875828243792057
