Year,america,usa,washington,new york
1990,"['american', 'africa', 'continent', 'vietnam', 'korea', 'asia', 'us', 'americans', 'japan', 'african']","['kern', 'world', 'rankings', 'kodak', 'usair', 'syndicate', 'truckers', 'nfl', 'stats', 'pbs']","['sacramento', 'chicago', 'pittsburgh', 'gazette', 'bangkok', 'houston', 'riyadh', 'boston', 'metropolitan', 'dallas']",[]
1991,"['africa', 'korea', 'american', 'world', 'europe', 'japan', 'society', 'culture', 'mainstream', 'vietnam']","['rankings', 'birthdays', 'espn', 'nfl', 'nationally', 'census', 'sports', 'olympics', 'amateur', 'entries']","['houston', 'office', 'portland', 'joining', 'hawaii', 'gannett', 'london', 'rochester', 'tokyo', 'arlington']",[]
1992,"['africa', 'american', 'democracy', 'americans', 'unity', 'continent', 'russia', 'european', 'nation', 'europe']","['austria', 'albertville', 'competition', 'weightlifting', 'judo', 'unified', 'sweden', 'belgium', 'sydney', 'tournament']","['chicago', 'houston', 'gazette', 'philadelphia', 'atlanta', 'beijing', 'denver', 'metropolitan', 'manhattan', 'pa']",[]
1993,"['asia', 'korea', 'africa', 'american', 'culture', 'society', 'asian', 'europe', 'canada', 'democracy']","['gallup', 'ranked', 'aaa', 'sierra', 'category', 'rankings', 'profitable', 'distributors', 'milwaukee', 'ranking']","['seattle', 'houston', 'albany', 'boston', 'chicago', 'atlanta', 'regional', 'manhattan', 'geneva', 'denver']",[]
1994,"['africa', 'american', 'korea', 'britain', 'african', 'asian', 'japan', 'china', 'asia', 'islam']","['americas', 'world', 'gala', 'america', 'southwest', 'currently', 'norway', 'rated', 'winston', 'carrier']","['chicago', 'louisville', 'annapolis', 'baltimore', 'miami', 'rochester', 'americas', 'johannesburg', 'ohio', 'minneapolis']",[]
1995,"['europe', 'asia', 'world', 'africa', 'american', 'province', 'cuba', 'australia', 'china', 'countries']","['sponsorship', 'gallup', 'digest', 'newsletter', 'archery', 'quarterly', 'previews', 'gymnastics', 'amateur', 'annually']","['gazette', 'okla', 'minneapolis', 'houston', 'chicago', 'detroit', 'charlotte', 'rawlins', 'denver', 'florida']",[]
1996,"['american', 'nation', 'africa', 'country', 'korea', 'region', 'americans', 'india', 'koreans', 'asia']","['boxing', 'attendance', 'lineup', 'arena', 'international', 'hockey', 'softball', 'continental', 'sportszone', 'yankee']","['houston', 'chicago', 'metropolitan', 'denver', 'maryland', 'fairfax', 'indianapolis', 'manhattan', 'baltimore', 'arizona']",[]
1997,"['american', 'china', 'africa', 'world', 'humanity', 'korea', 'americans', 'koreans', 'japan', 'europe']","['finals', 'publications', 'poll', 'hockey', 'pc', 'hercules', 'europe', 'espn', 'dayton', 'collegiate']","['legislatures', 'denver', 'syracuse', 'raleigh', 'ohio', 'lexington', 'minnesota', 'florida', 'iowa', 'dallas']",[]
1998,"['american', 'africa', 'europe', 'germany', 'asia', 'country', 'world', 'coca', 'japan', 'carolina']","['speedskating', 'midwest', 'gallup', 'poll', 'conference', 'prizes', 'contest', 'canada', 'germany', 'wnba']","['denver', 'maryland', 'dallas', 'sacramento', 'massachusetts', 'cleveland', 'wisconsin', 'miami', 'connecticut', 'midwest']",[]
1999,"['korea', 'world', 'koreans', 'britain', 'nation', 'africa', 'korean', 'europe', 'carolina', 'asia']","['lucent', 'guild', 'cnn', 'viacom', 'canada', 'opryland', 'corp', 'soundtracks', 'broadcasting', 'correspondent']","['alexandria', 'baltimore', 'mariner', 'moines', 'convention', 'lobbyist', 'conn', 'des', 'calif', 'boston']",[]
