Year,china,chinese,beijing,shanghai
1990,"['beijing', 'nicaragua', 'economic', 'poland', 'romania', 'russia', 'japan', 'solidarity', 'laos', 'turmoil']","['mexican', 'korean', 'japanese', 'intellectuals', 'elite', 'neo', 'mao', 'masses', 'polish', 'stalinist']","['china', 'protests', 'moscow', 'communist', 'azerbaijan', 'baku', 'azerbaijani', 'shanghai', 'crackdown', 'dissent']","['provincial', 'beijing', 'zambia', 'village', 'harvard', 'mall', 'harlem', 'india', 'bucharest', 'rural']"
1991,"['latvia', 'russia', 'japan', 'india', 'cambodia', 'egypt', 'provinces', 'ukraine', 'tibet', 'france']","['intellectuals', 'colonial', 'scholars', 'asian', 'mexican', 'nationalist', 'ethnic', 'ethiopian', 'communists', 'russian']","['moscow', 'hanoi', 'cambodia', 'bonn', 'province', 'tokyo', 'baghdad', 'hong', 'china', 'cyprus']","['williamsburg', 'marlboro', 'restaurants', 'bakery', 'shop', 'galleries', 'venice', 'hotels', 'leipzig', 'farming']"
1992,"['india', 'taiwan', 'sarajevo', 'zimbabwe', 'asia', 'korea', 'egypt', 'bosnia', 'arab', 'africa']","['spanish', 'diplomats', 'palestinians', 'germans', 'german', 'soldiers', 'japanese', 'western', 'islamic', 'india']","['algeria', 'bosnia', 'macao', 'afghanistan', 'kabul', 'zagreb', 'india', 'iran', 'sarajevo', 'palestine']","['publications', 'newsday', 'gannett', 'cairo', 'conglomerate', 'disclosures', 'distributors', 'tokyo', 'consortium', 'ukraine']"
1993,"['asia', 'india', 'thailand', 'egypt', 'turkey', 'japan', 'hungary', 'europe', 'taiwan', 'moscow']","['french', 'mexicans', 'vietnamese', 'laborers', 'peasant', 'varietals', 'dominican', 'spanish', 'greece', 'slovenia']","['hong', 'brussels', 'cambodia', 'geneva', 'srebrenica', 'moscow', 'china', 'bangkok', 'berlin', 'provinces']","['victorian', 'miniature', 'stucco', 'naples', 'plush', 'bookstore', 'bedford', 'kensington', 'sausalito', 'provence']"
1994,"['iraq', 'britain', 'japan', 'croatia', 'cuba', 'ukraine', 'serbia', 'france', 'province', 'republic']","['neo', 'indonesian', 'nationalist', 'communist', 'capitalist', 'mexican', 'peasant', 'indian', 'orthodox', 'french']","['istanbul', 'somalia', 'chechnya', 'peacekeepers', 'iraq', 'gorazde', 'guatemala', 'kuwait', 'kigali', 'airfield']","['streaming', 'sylmar', 'manila', 'zaire', 'rome', 'awoke', 'cruising', 'passau', 'normandy', 'bukavu']"
1995,"['japan', 'asia', 'russia', 'croatia', 'beijing', 'europe', 'india', 'countries', 'taiwan', 'brazil']","['displaced', 'immigrant', 'african', 'nationalist', 'asian', 'communists', 'jews', 'jewish', 'immigrants', 'intellectuals']","['taiwan', 'bosnia', 'china', 'russia', 'croatia', 'chechnya', 'pakistan', 'eu', 'egypt', 'serbia']","['hong', 'kong', 'pakistan', 'asia', 'uprising', 'china', 'beijing', 'europe', 'germany', 'france']"
1996,"['iran', 'japan', 'asia', 'taiwan', 'france', 'russia', 'cuba', 'beijing', 'iraq', 'indonesia']","['asian', 'immigrant', 'taiwanese', 'korean', 'british', 'cambodia', 'vietnamese', 'germans', 'iran', 'muslim']","['taiwan', 'china', 'iran', 'iraq', 'bosnia', 'taipei', 'chechnya', 'israel', 'un', 'asia']","['malaysia', 'kong', 'hong', 'kurdish', 'zhang', 'nationalist', 'taiwan', 'philippine', 'deng', 'fled']"
1997,"['taiwan', 'indonesia', 'russia', 'japan', 'europe', 'thailand', 'korea', 'france', 'currency', 'asia']","['cuisine', 'vietnamese', 'irish', 'japanese', 'tutsi', 'basque', 'indonesian', 'leftist', 'asian', 'beijing']","['kabila', 'pakistan', 'russia', 'zaire', 'taiwan', 'bosnia', 'palestine', 'iran', 'saudi', 'islamic']","['jakarta', 'australia', 'italy', 'moines', 'southwestern', 'shores', 'cuisine', 'norway', 'kuwait', 'arabia']"
1998,"['india', 'pakistan', 'iran', 'japan', 'indonesia', 'thailand', 'moscow', 'nigeria', 'asia', 'europe']","['mexican', 'vietnamese', 'italian', 'imperial', 'japanese', 'cuban', 'muslims', 'settlers', 'french', 'asian']","['moscow', 'kosovo', 'congo', 'milosevic', 'embassy', 'kenya', 'india', 'pakistan', 'troops', 'china']",[]
1999,"['germany', 'russia', 'pakistan', 'cuba', 'india', 'sudan', 'brazil', 'france', 'iraq', 'missiles']","['russian', 'german', 'cuban', 'china', 'espionage', 'descent', 'russians', 'pakistan', 'french', 'immigrants']","['belgrade', 'moscow', 'macedonia', 'albania', 'province', 'montenegro', 'ministry', 'protest', 'protests', 'pristina']","['tang', 'bouquet', 'moreau', 'chateau', 'graff', 'french', 'facade', 'avant', 'raul', 'williamsburg']"
2000,"['japan', 'russia', 'taiwan', 'europe', 'india', 'colombia', 'germany', 'indonesia', 'countries', 'lebanon']","['ancient', 'japanese', 'vietnamese', 'beijing', 'asian', 'indonesia', 'ethiopian', 'albanians', 'taiwanese', 'settlers']","['jakarta', 'aviv', 'chinese', 'tehran', 'tokyo', 'china', 'india', 'tel', 'peru', 'saudi']","['kong', 'beijing', 'conservatory', 'cambridge', 'london', 'brunswick', 'cum', 'tehran', 'hong', 'wales']"
2001,"['russia', 'japan', 'taiwan', 'beijing', 'nato', 'iran', 'asia', 'eu', 'korea', 'foreign']","['rebel', 'zhang', 'korean', 'japanese', 'pakistani', 'china', 'american', 'peacekeepers', 'nato', 'bosnia']","['china', 'taiwan', 'moscow', 'zhang', 'nato', 'embassy', 'russia', 'province', 'macedonia', 'tokyo']","['albuquerque', 'italy', 'tokyo', 'peacekeepers', 'netherlands', 'beijing', 'rome', 'venezuela', 'lebanon', 'asia']"
2002,"['india', 'germany', 'russia', 'pakistan', 'taiwan', 'asia', 'egypt', 'hong', 'kong', 'iran']","['vietnamese', 'spanish', 'japanese', 'french', 'asian', 'german', 'cuisine', 'mexican', 'taiwanese', 'fluent']","['islamabad', 'karachi', 'belgium', 'singapore', 'indonesia', 'brussels', 'buenos', 'consulate', 'exile', 'caracas']","['industrial', 'galleria', 'warehouse', 'consulate', 'panama', 'neighboring', 'tribeca', 'desert', 'rockville', 'southeast']"
2003,"['russia', 'india', 'asia', 'beijing', 'taiwan', 'japan', 'france', 'europe', 'africa', 'germany']","['japanese', 'mexican', 'russian', 'finnish', 'french', 'spanish', 'contemporary', 'language', 'predominantly', 'protestant']","['china', 'taiwan', 'india', 'canada', 'shanghai', 'seoul', 'communist', 'pakistan', 'mainland', 'province']","['quebec', 'canada', 'kenya', 'jakarta', 'ceuta', 'pakistan', 'austria', 'spain', 'tanzania', 'colombia']"
2004,"['india', 'russia', 'bangladesh', 'brazil', 'europe', 'beijing', 'pakistan', 'japan', 'asia', 'exports']","['asian', 'japanese', 'german', 'mexican', 'french', 'jewish', 'indian', 'russian', 'neo', 'cuisine']","['china', 'najaf', 'baghdad', 'fallujah', 'russia', 'thailand', 'poland', 'embassy', 'samarra', 'moscow']","['frankfurt', 'mining', 'belgium', 'hong', 'bangladesh', 'rio', 'port', 'centralized', 'amman', 'sacramento']"
2005,"['europe', 'russia', 'asia', 'japan', 'nato', 'diplomatic', 'korea', 'syria', 'iran', 'countries']","['german', 'mexican', 'beijing', 'italian', 'foreign', 'american', 'singapore', 'fusion', 'missiles', 'african']","['kenya', 'taiwan', 'germany', 'province', 'eu', 'chinese', 'asia', 'fledgling', 'europe', 'tehran']","['stockholm', 'nightclub', 'berlin', 'outpost', 'mayan', 'lafayette', 'venice', 'fredericksburg', 'hilltop', 'sinai']"
2006,"['india', 'japan', 'europe', 'america', 'russia', 'iran', 'nigeria', 'korea', 'export', 'economy']","['french', 'spanish', 'indian', 'languages', 'language', 'japanese', 'arabic', 'descent', 'china', 'goods']","['beirut', 'haiti', 'hong', 'milan', 'japan', 'qatar', 'brussels', 'philippines', 'tehran', 'paris']","['vienna', 'famed', 'cafe', 'greenwich', 'dutch', 'brooklyn', 'bustling', 'suburb', 'midtown', 'landscape']"
2007,"['europe', 'asia', 'japan', 'india', 'brazil', 'chinese', 'russia', 'economy', 'adoptions', 'exporters']","['china', 'increasingly', 'economies', 'foreign', 'local', 'asian', 'globally', 'imports', 'alike', 'japanese']","['hu', 'olympic', 'olympics', 'germany', 'grayson', 'european', 'region', 'shichahai', 'montreal', 'woodlands']","['plc', 'hong', 'ag', 'mumbai', 'ltd', 'venezuela', 'kong', 'subsidiary', 'taiwan', 'daimlerchrysler']"
2008,"['japan', 'russia', 'india', 'europe', 'poland', 'countries', 'moscow', 'pakistan', 'germany', 'beijing']","['russian', 'asian', 'european', 'india', 'iraqi', 'german', 'polish', 'afghan', 'han', 'ethnic']","['olympic', 'china', 'athens', 'sydney', 'olympics', 'wei', 'medal', 'organizing', 'poland', 'semifinals']","['correspondents', 'brewing', 'cuisine', 'brewery', 'locales', 'languages', 'bistro', 'offerings', 'blogs', 'vienna']"
2009,"['countries', 'russia', 'europe', 'japan', 'india', 'afghanistan', 'africa', 'egypt', 'asia', 'pakistan']","['japanese', 'russian', 'german', 'xinjiang', 'uighur', 'muslim', 'arab', 'ethnic', 'shiite', 'mexican']","['london', 'moscow', 'paris', 'tehran', 'province', 'islamabad', 'russian', 'shanghai', 'morocco', 'china']","['taiwan', 'netherlands', 'cannes', 'ontario', 'italy', 'cirque', 'plaza', 'conservatory', 'honolulu', 'westgate']"
2010,"['japan', 'beijing', 'iran', 'dubai', 'europe', 'india', 'germany', 'chinese', 'greece', 'pakistan']","['china', 'imf', 'european', 'arab', 'foreign', 'japan', 'pakistan', 'iranian', 'markets', 'communist']","['china', 'cambodia', 'moscow', 'iran', 'tokyo', 'foreign', 'tehran', 'india', 'bushehr', 'israel']",[]
2011,"['russia', 'beijing', 'europe', 'iran', 'india', 'pakistan', 'taiwan', 'syria', 'libya', 'asia']","['foreign', 'china', 'cnpc', 'canadian', 'pakistani', 'turkish', 'japanese', 'intelligence', 'spanish', 'fortune']","['china', 'taiwan', 'pakistan', 'russia', 'london', 'kabul', 'asia', 'brazil', 'india', 'embassy']","['richmond', 'mclean', 'providence', 'newark', 'vienna', 'lakeside', 'woodstock', 'brooklyn', 'chicago', 'dublin']"
2012,"['russia', 'india', 'iran', 'brazil', 'europe', 'germany', 'singapore', 'france', 'countries', 'foreign']","['mainland', 'indian', 'shiite', 'russian', 'brazil', 'taiwan', 'filipino', 'mexican', 'china', 'immigrant']","['kabul', 'colombia', 'cuba', 'province', 'guatemala', 'azerbaijan', 'islamabad', 'baghdad', 'benghazi', 'jaar']","['automotive', 'singapore', 'metropolitan', 'ontario', 'textile', 'startup', 'corp', 'netherlands', 'aerospace', 'residential']"
2013,"['germany', 'europe', 'japan', 'asia', 'britain', 'australia', 'france', 'greece', 'india', 'africa']","['british', 'china', 'embassy', 'treaty', 'canada', 'french', 'german', 'vietnamese', 'turkish', 'egypt']","['china', 'japan', 'province', 'germany', 'seoul', 'asia', 'haddad', 'myanmar', 'moscow', 'venezuela']","['foothills', 'sweden', 'northeastern', 'tel', 'kurdistan', 'beijing', 'canada', 'baghdad', 'hospitality', 'sinai']"
2014,"['ukraine', 'iran', 'russia', 'egypt', 'europe', 'africa', 'japan', 'india', 'chinese', 'countries']","['china', 'foreign', 'japanese', 'ethnic', 'ukrainians', 'ukrainian', 'russian', 'bangladesh', 'korean', 'pakistan']","['india', 'russia', 'pakistan', 'warsaw', 'kong', 'kiev', 'moscow', 'gaza', 'palestinian', 'ukraine']","['quarterfinals', 'fray', 'alberta', 'finals', 'southeastern', 'pennant', 'semifinals', 'chaifetz', 'sunset', 'mwc']"
2015,"['russia', 'europe', 'greece', 'india', 'hungary', 'bp', 'nations', 'israel', 'germany', 'beijing']","['russian', 'beijing', 'foreign', 'china', 'military', 'iranian', 'diplomats', 'german', 'jordanian', 'nationalist']","['taiwan', 'russia', 'cuba', 'yemen', 'european', 'china', 'saudi', 'denmark', 'germany', 'diplomats']","['chick', 'nonsense', 'alto', 'clearance', 'malaysia', 'interference', 'timetable', 'tomas', 'concerto', 'beirut']"
