Year,trade,tariff,negotiation,conflict,collaboration,cooperation
1990,"['currency', 'assistance', 'corporations', 'trading', 'agreements', 'monetary', 'imports', 'deals', 'embargo', 'aid']",[],"['restructuring', 'political', 'climate', 'negotiating', 'peaceful', 'bureaucratic', 'selecting', 'progress', 'perestroika', 'transformation']","['conflicts', 'confrontation', 'danger', 'dispute', 'clashes', 'crisis', 'suspicion', 'differences', 'occupation', 'hostility']","['rapport', 'fascination', 'obsession', 'flair', 'disgust', 'tandem', 'collaborating', 'drummer', 'richness', 'experimenting']","['relations', 'alliances', 'monetary', 'diplomacy', 'consensus', 'global', 'dialogue', 'confrontation', 'competitiveness', 'negotiations']"
1991,"['monetary', 'ec', 'multilateral', 'investment', 'agreements', 'enterprise', 'export', 'negotiate', 'economic', 'compete']","['resettlement', 'dependence', 'cushion', 'embargo', 'thereby', 'pledging', 'vis', 'surgical', 'liability', 'fuels']","['pact', 'negotiations', 'reform', 'multilateral', 'treaty', 'capitalism', 'apartheid', 'licensing', 'democratization', 'reforms']","['negotiations', 'confrontation', 'tensions', 'apartheid', 'chaos', 'differences', 'crisis', 'war', 'conflicts', 'debate']","['interaction', 'feud', 'roles', 'aligned', 'friction', 'portrait', 'themes', 'relationship', 'friendships', 'disdain']","['stability', 'competitiveness', 'arrangements', 'links', 'relations', 'integration', 'contacts', 'exchanges', 'ties', 'assistance']"
1992,"['markets', 'agreements', 'pact', 'relations', 'canada', 'monetary', 'cooperation', 'negotiations', 'industry', 'bargaining']","['sixty', 'containing', 'exports', 'newsprint', 'consumption', 'yield', 'dioxide', 'discount', 'imports', 'exceed']","['coupled', 'bitterness', 'experimenting', 'meditation', 'conflict', 'chaotic', 'diplomacy', 'moderation', 'strain', 'rapport']","['fundamentalism', 'fundamentalists', 'confrontation', 'strife', 'conflicts', 'judaism', 'tensions', 'struggle', 'bosnia', 'israel']","['blending', 'galina', 'olympiad', 'devoid', 'harmony', 'experimentation', 'glyndebourne', 'saloon', 'gras', 'interaction']","['unity', 'norms', 'peace', 'integration', 'stability', 'liberation', 'economies', 'countries', 'strategic', 'nations']"
1993,"['tariffs', 'gatt', 'bombing', 'global', 'hostages', 'cooperation', 'bilateral', 'competition', 'capital', 'nafta']","['namely', 'reduction', 'quarterly', 'dividend', 'subsidies', 'deficits', 'reductions', 'supplements', 'decrease', 'reduce']","['negotiating', 'ubiquitous', 'instructional', 'interfering', 'bargaining', 'participation', 'advocating', 'conjunction', 'geneva', 'voluntary']","['strife', 'confrontation', 'conflicts', 'plo', 'struggle', 'tensions', 'dispute', 'bosnia', 'debate', 'pact']","['hometown', 'warrior', 'pals', 'grace', 'predecessor', 'conversation', 'dealings', 'relationship', 'creator', 'klein']","['competitiveness', 'diplomacy', 'bilateral', 'multilateral', 'global', 'agreements', 'diplomatic', 'reforms', 'intervention', 'policies']"
1994,"['treaty', 'kong', 'securities', 'accord', 'pharmaceutical', 'gatt', 'customs', 'bond', 'bargaining', 'unilaterally']",[],"['drought', 'nationalists', 'slovakia', 'runoff', 'conjunction', 'goma', 'semifinal', 'demonstrators', 'mosques', 'similarities']","['tensions', 'disputes', 'conflicts', 'serbia', 'intervention', 'stability', 'palestinian', 'macedonia', 'threat', 'struggle']","['geneva', 'conjunction', 'buena', 'yerba', 'gerard', 'olympiad', 'columbine', 'carnegie', 'bbc', 'gowanus']","['intervention', 'peace', 'partnership', 'democracy', 'treaty', 'compliance', 'sanctions', 'russia', 'sustainable', 'indonesian']"
1995,"['tariffs', 'communications', 'trading', 'currency', 'consumer', 'acquiring', 'ltd', 'debt', 'worldwide', 'futures']",[],[],"['determination', 'racial', 'equality', 'psychological', 'nato', 'terrorists', 'territorial', 'warfare', 'syria', 'disputes']","['friendship', 'parallels', 'brooding', 'overture', 'comical', 'sermons', 'creator', 'hawthorne', 'zeal', 'fascination']","['coordination', 'initiatives', 'continuing', 'regulatory', 'involvement', 'humanitarian', 'stability', 'relations', 'conservation', 'religious']"
1996,"['exchange', 'agreements', 'sanctions', 'policy', 'deals', 'disputes', 'agreement', 'eu', 'bailout', 'exchanges']",[],[],"['conflicts', 'differences', 'clashes', 'apartheid', 'strife', 'tensions', 'racial', 'instability', 'confrontation', 'israel']","['interaction', 'enormously', 'deterioration', 'teamwork', 'ensemble', 'interfaith', 'coupled', 'longstanding', 'partnership', 'coping']","['unity', 'diplomatic', 'conflicts', 'autonomy', 'solidarity', 'initiatives', 'realities', 'clashes', 'coalition', 'instability']"
1997,"['traders', 'exchange', 'currency', 'banking', 'tourism', 'global', 'hostile', 'imf', 'coca', 'monetary']",[],"['escalating', 'discussions', 'crisis', 'obtaining', 'cycle', 'decree', 'inspections', 'conflict', 'tension', 'standoff']","['conflicts', 'racial', 'confrontation', 'dispute', 'racism', 'genocide', 'inequality', 'crisis', 'disparity', 'disputes']","['conclusions', 'dealings', 'reliability', 'finances', 'conjunction', 'speeches', 'chemistry', 'affiliated', 'contacts', 'concepts']","['reforms', 'iraq', 'integration', 'allies', 'oslo', 'involvement', 'corruption', 'discussions', 'agreements', 'peace']"
1998,"['trading', 'imf', 'embargo', 'acquisition', 'press', 'derivatives', 'consortium', 'securities', 'research', 'profit']",[],"['induction', 'oslo', 'chuckle', 'confrontation', 'millennium', 'dispute', 'laughter', 'promotion', 'continuation', 'speeds']","['differences', 'racial', 'obstacles', 'movement', 'sanctions', 'tension', 'cooperation', 'acceptance', 'israel', 'iraq']","['partnership', 'distinction', 'preoccupied', 'preoccupation', 'relationship', 'coupled', 'anticipation', 'affair', 'fascination', 'clashes']","['cooperate', 'conflict', 'iraq', 'negotiations', 'agreement', 'peace', 'demands', 'relationship', 'talks', 'inspections']"
1999,"['exchange', 'trading', 'trades', 'negotiations', 'filing', 'negotiate', 'nasdaq', 'yahoo', 'currency', 'agents']",[],[],"['conflicts', 'extremists', 'difficulties', 'cooperation', 'semitism', 'jews', 'nationalism', 'stability', 'crisis', 'breakdown']","['concerto', 'conjunction', 'gwyneth', 'romeo', 'pianist', 'pairing', 'renowned', 'dance', 'philharmonic', 'armani']","['conflicts', 'diplomacy', 'reforms', 'monetary', 'involvement', 'intervention', 'proposals', 'indonesian', 'partnership', 'mediation']"
