Year,china_sentiment_proximity,america_sentiment_proximity
1990,0.13395470939576626,0.10884994268417358
1991,0.03362538246437907,0.09292855951935053
1992,0.140823241090402,0.15730587393045425
1993,0.13771736528724432,0.10497249942272902
1994,0.13001452386379242,0.1159660539124161
1995,0.19759108172729611,0.1248555351048708
1996,0.23026003874838352,0.07894432824105024
1997,0.1641450843308121,0.02495849970728159
1998,0.16604136698879302,0.09013189235702157
1999,0.22234519198536873,0.1348221863154322
2000,0.16558642266318202,0.04179275035858154
2001,0.2098466232419014,0.17082649655640125
2002,0.11626025289297104,0.17195123620331287
2003,0.17116953991353512,0.14601605432108045
2004,0.09785463841399178,0.2010750211775303
2005,0.19342836923897266,0.12795026251114905
2006,0.16675172466784716,0.16516550350934267
2007,0.19683644268661737,0.12782157771289349
2008,0.27486444264650345,0.13845825381577015
2009,0.24845972657203674,0.15972779132425785
2010,0.20694135129451752,0.12087554577738047
2011,0.20528636872768402,0.15325414761900902
2012,0.22670205682516098,0.15530204959213734
2013,0.22320643067359924,0.1070150826126337
2014,0.27242621034383774,0.15616602497175336
2015,0.2661280259490013,0.18210418708622456
2016,0.23342234082520008,0.17324976436793804
2017,0.19861175492405891,0.15016268379986286
2018,0.16067697294056416,0.1905894698575139
2019,0.26062857639044523,0.1605009122285992
